,region,year,prep_temp_2m,prep_soil_temp_l1,prep_soil_water_vol_l1,prep_net_solar_radiation,prep_total_rain,plnt_temp_2m,plnt_soil_temp_l1,plnt_soil_water_vol_l1,plnt_net_solar_radiation,plnt_total_rain,grow_temp_2m,grow_soil_temp_l1,grow_soil_water_vol_l1,grow_net_solar_radiation,grow_total_rain,head_temp_2m,head_soil_temp_l1,head_soil_water_vol_l1,head_net_solar_radiation,head_total_rain,hvst_temp_2m,hvst_soil_temp_l1,hvst_soil_water_vol_l1,hvst_net_solar_radiation,hvst_total_rain
18,Asahi,2008,281.7896125,282.05395500000003,0.6539533125,50406301.0,0.0152673251,290.48047,290.7776,0.670027,15997274.0,0.006434925,295.651855,295.93701,0.627956585,34839926.0,0.0086313417,297.665895,298.12317,0.54089225,30749683.0,0.0114799347,292.1709,292.11792,0.66569334,10890971.0,0.0036707788
19,Asahi,2009,282.8135975,283.0489525,0.6509533949999999,50680312.0,0.0154273212,291.83105,292.0752,0.5992118,17285962.0,0.0036299035,295.99194,296.129265,0.6555534000000001,30813629.0,0.0102907603,296.249145,296.548825,0.62039947,29211491.0,0.0083034995,291.3694,291.3374,0.6641508,10262022.0,0.007389333
20,Asahi,2010,282.0089725,282.2279025,0.661607485,44395173.0,0.019339903040000002,290.77173,291.09375,0.63137925,18664204.0,0.003989786,297.115115,297.265625,0.6377097,35931144.0,0.011609539200000001,298.867185,299.40503,0.5330517850000001,33621560.0,0.0117303633,292.23828,292.32983,0.69190866,8997382.0,0.0102082975
21,Asahi,2011,281.36157,281.7202175,0.6098610074999999,54706223.0,0.0111471086,290.812,291.17603,0.6076008,17303572.0,0.0065583177,296.65675,296.88793999999996,0.585855775,34435900.0,0.008395913500000001,298.375245,298.719115,0.59624595,32530300.0,0.0072299966,291.90308,291.9878,0.6341499,10287157.0,0.0047875457
22,Asahi,2012,281.30816500000003,281.4241925,0.65305728,48207648.0,0.0164423129,291.46313,291.83618,0.6308069,19108588.0,0.004101943,295.550045,295.818355,0.62435642,34552649.0,0.0093352243,298.85326499999996,299.344605,0.48251990999999994,33124260.0,0.0085612348,291.98413,292.20557,0.684449,11462514.0,0.006676674
23,Asahi,2013,282.2044075,282.37598,0.64509542,51493403.0,0.0133879688,290.67334,291.13696,0.56478703,20201160.0,0.0021079506,296.26245,296.6178,0.55975195,34039163.0,0.0073681498,298.61902499999997,299.085935,0.47864607000000003,34293903.0,0.0053231814999999995,292.9048,292.99585,0.66657,9433847.0,0.011611246
24,Asahi,2014,281.9484875,282.17535250000003,0.6402704275,52321074.0,0.0168697616,291.55884,291.8418,0.6065424,20156148.0,0.004311975,296.459835,296.81665,0.6285368,36182020.0,0.0085972012,297.163085,297.4126,0.57901077,30677156.0,0.0089068226,291.88623,291.81445,0.67036754,10976406.0,0.008385353
25,Asahi,2015,282.1802975,282.378295,0.6717266625,49006289.0,0.0169010164,292.51392,292.90112,0.54247445,19996938.0,0.0024151767,296.18138999999996,296.36731,0.63565045,33817793.0,0.0125871153,297.51892,297.9021,0.55898273,30009851.0,0.0119369636,291.427,291.5193,0.61595863,11547854.0,0.002488111
26,Asahi,2016,282.8516225,282.996885,0.6468551650000001,47629941.0,0.0129493522,291.9065,292.25,0.5861726,19430920.0,0.00433892,296.18273999999997,296.44165,0.6332433799999999,34895880.0,0.0093335747,298.42944,298.551145,0.64630195,27851645.0,0.0153477527,292.32983,292.44043,0.6647392,10405504.0,0.0036583508
27,Asahi,2017,281.9708225,282.2522,0.6308442375000001,53717612.0,0.012964222899999999,291.89233,292.29517,0.5820845,19297800.0,0.003682654,296.43494,296.74170000000004,0.55877055,36246520.0,0.0064907298,297.399535,297.66138,0.59919875,27965193.0,0.0105178023,291.25195,291.37866,0.6932633,8507223.0,0.011037387
28,Asahi,2018,282.8594325,283.0374775,0.6177566875,52664235.0,0.0119646288,292.0569,292.2849,0.63379794,18741720.0,0.0062816925,297.28234999999995,297.549325,0.60051232,37118356.0,0.009889921999999999,298.3888,298.660285,0.60687033,30016961.0,0.0139817029,292.65527,292.73315,0.6566254,10473698.0,0.002556329
29,Asahi,2019,282.4440325,282.6153575,0.623500305,49822225.0,0.01321850384,291.70117,291.91797,0.609804,20159624.0,0.003871981,295.56922,295.75097500000004,0.66699123,31216270.0,0.0142795332,299.01355,299.35327500000005,0.538550725,33093961.0,0.0061535875,293.32568,293.4817,0.64331967,9824599.0,0.009800062
