,valid_time,region_id,region,temp_2m,soil_temp_l1,soil_water_vol_l1,net_solar_radiation,total_rain
0,2023-12-01,1,Asahi,-0.7451612200421833,-0.7874969055279,1.1440396543781677,-1.679780702262808,-1.3945212919384329
1,2023-11-01,1,Asahi,-0.049061051514903295,-0.05765160622522993,1.078169361611517,-1.4529953494123344,-1.2608691489478763
2,2023-10-01,1,Asahi,0.47653033898471503,0.48574726835858384,1.4397870030872721,-0.8085841691886008,-0.6511445835231449
3,2023-09-01,1,Asahi,1.481577037413855,1.498338348001923,0.7830641607001135,-0.5585206162048357,-0.5742517676313464
4,2023-08-01,1,Asahi,1.7442188895233575,1.8338508406100935,-1.2932107384262925,0.4515580134508217,-1.3958597389846599
5,2023-07-01,1,Asahi,1.5339553580879504,1.5563339399028733,0.5972105732216159,0.6369099288348418,-1.4835393730266746
6,2023-06-01,1,Asahi,0.9150324624682938,0.8899584141179352,2.291524534221815,-0.15981623140896398,0.09785443185622693
7,2023-05-01,1,Asahi,0.3437194526532889,0.34831471751838633,2.036436957870492,0.07240964008143491,-0.5439646969466856
8,2023-04-01,1,Asahi,-0.026866895465204238,-0.024851629532937174,1.9089781998587212,0.12592811286648714,-0.661534207381352
9,2023-03-01,1,Asahi,-0.43000617108077854,-0.46007373924399053,2.0057065707538477,-0.6578051280552004,-0.8498991455825965
10,2023-02-01,1,Asahi,-1.1426019771455325,-1.1717793798129064,2.016107071691602,-0.9832458522118958,-1.063658980447854
11,2023-01-01,1,Asahi,-1.348649223064385,-1.3617361605002922,1.7858327548234527,-1.4647071887653607,-1.3248451440555076
12,2022-12-01,1,Asahi,-0.9979571111719873,-0.9942145786288819,2.1948063669463562,-1.757936622741578,-1.2606032989333262
13,2022-11-01,1,Asahi,-0.028890038132268325,-0.08756153081491437,1.8375003864324906,-1.6316709925337014,-0.8924061199630889
14,2022-10-01,1,Asahi,0.409678118480028,0.38906586194662474,2.1287991513215085,-1.3538845433204907,-0.49778250521446676
15,2022-09-01,1,Asahi,1.1853566368718882,1.1989670142729536,1.4705354651873264,-0.503924896301706,-0.8317995838970135
16,2022-08-01,1,Asahi,1.514849304525888,1.5314498864086903,1.410258796722042,1.1283110345891718,-0.09877534192477162
17,2022-07-01,1,Asahi,1.4312246693271955,1.4364545786868343,1.642764305090676,1.5536246988532214,0.9362415012166759
18,2022-06-01,1,Asahi,0.8658785254198318,0.8714056894007287,1.7713828745379114,1.730994563217957,-0.6090345160292405
19,2022-05-01,1,Asahi,0.34821111036620117,0.3413955098502965,2.2352870414846504,1.3155533571733455,0.27303119749783494
20,2022-04-01,1,Asahi,-0.1088463222867331,-0.11213684215765048,2.362976109768902,0.7144999485221802,0.8664094564217434
21,2022-03-01,1,Asahi,-0.6952879433787618,-0.6857205487262776,1.8525308040884103,0.3608711224015002,0.19770043006990706
22,2022-02-01,1,Asahi,-1.4243161637726438,-1.442375663070519,1.8549689833021359,-0.09105942095766276,-0.17674986970588868
23,2022-01-01,1,Asahi,-1.4862636682698984,-1.4903561670998118,1.7966489803796335,-0.8322382794399413,-1.2327471033006276
24,2021-12-01,1,Asahi,-1.0038228199462753,-0.9950378910327428,2.3730809972683082,-1.1371920378705787,0.17054213691555986
25,2021-11-01,1,Asahi,-0.1741558965077918,-0.2311562366504748,2.335976651889108,-0.8494709763462088,0.11152228406373797
26,2021-10-01,1,Asahi,0.43691327167514843,0.42998899971950444,2.3802289729655914,-0.5521108737154132,1.53341154091954
27,2021-09-01,1,Asahi,0.9865828698331612,0.9689823070737381,2.319163710466055,-0.11553673365524395,1.2945116969408994
28,2021-08-01,1,Asahi,1.5186230275840304,1.50150612706268,1.8844817384718706,0.8703574403550887,0.6144076615098073
29,2021-07-01,1,Asahi,1.289903939152439,1.2870092795703938,2.2030394247122107,1.2009113563629963,2.242366810609218
30,2021-06-01,1,Asahi,0.8422456901402294,0.8526823811203907,1.4932416286206307,1.3108622160322896,0.22565557528331062
31,2021-05-01,1,Asahi,0.47694199231905343,0.4823398264405417,1.2690120332204538,1.1604276008482064,-0.1845110888719788
32,2021-04-01,1,Asahi,-0.19569674607124876,-0.17787636391206932,1.4743613366757435,1.6468449798244718,-0.3475471515402371
33,2021-03-01,1,Asahi,-0.46008636865145786,-0.48117252937452276,1.7697298881518824,0.33754162478639566,0.09805939297941345
34,2021-02-01,1,Asahi,-1.0212836651311583,-1.0290798852383962,1.487961304031701,0.16588695129224662,-1.10928101901428
35,2021-01-01,1,Asahi,-1.2694136834850538,-1.298851446310638,1.4201455211152378,-1.0979882766638898,-0.5326474105048883
36,2020-12-01,1,Asahi,-0.9901356978195347,-1.0026789068357236,1.4242256084993559,-1.2956380169206967,-1.1894146594927177
37,2020-11-01,1,Asahi,-0.13488023452328424,-0.16252525301193774,1.5884212844049899,-1.0820130466001654,-1.1663969751827497
38,2020-10-01,1,Asahi,0.3570244256095831,0.3353729232247749,2.176087000660214,-1.0845173950905913,2.2961296898451367
39,2020-09-01,1,Asahi,1.2453133127863425,1.2746187098485502,0.8083220064687715,0.06641923414969188,-0.35219281382538564
40,2020-08-01,1,Asahi,1.6347303422705406,1.6631685927748132,0.7570121817893848,2.0354323612627376,-1.3005101164688073
41,2020-07-01,1,Asahi,1.193964827928192,1.1515039000591103,2.6950339622471247,-0.2866181781462739,2.264927520299581
42,2020-06-01,1,Asahi,0.9456957185159359,0.9469897154636735,2.0735271153594885,1.0255722208814697,1.5602745044747117
43,2020-05-01,1,Asahi,0.43917666253391835,0.4393866032882682,1.9542006422221967,1.3564447783901643,0.006515634108151852
