,region,year,prep_temp_2m,prep_soil_temp_l1,prep_soil_water_vol_l1,prep_net_solar_radiation,prep_total_rain,plnt_temp_2m,plnt_soil_temp_l1,plnt_soil_water_vol_l1,plnt_net_solar_radiation,plnt_total_rain,grow_temp_2m,grow_soil_temp_l1,grow_soil_water_vol_l1,grow_net_solar_radiation,grow_total_rain,head_temp_2m,head_soil_temp_l1,head_soil_water_vol_l1,head_net_solar_radiation,head_total_rain,hvst_temp_2m,hvst_soil_temp_l1,hvst_soil_water_vol_l1,hvst_net_solar_radiation,hvst_total_rain,yield
0,Asahi,1993,-0.060561904247802105,-0.003972816540460423,2.2382620703835223,0.9593886558637862,0.9517311043263531,-1.5726483357783219,-1.3421868019442296,1.8132578855441528,1.4413148063189745,-1.2795277232153677,-2.7362087799798394,-2.5384724880127223,2.268994862727739,-0.9196786666289902,1.572625652675891,-1.5680932877714402,-1.779113967067848,2.8908407831615746,-1.0782915703736269,0.6283208876845802,-1.4555007678198857,-1.898463138903058,2.1200064760530726,0.689816307490613,-0.11007063543842625,-3.1609948706200863
1,Asahi,1994,-0.8055555609154043,-0.7934335223434336,2.159424088643669,1.1809033637280173,0.6549217227884462,0.43449190039228225,0.45805828694981926,1.6782699450359277,0.747848245156024,-0.2526705428903822,0.616557728585507,1.0509296432247073,0.8811822412919137,1.5135086992450788,-1.903578234147457,0.9161866281233483,1.193803948690646,0.6133431281704228,1.8505439844335025,-0.11943181345960648,1.6780671818520605,1.329429091059612,1.7960295545378928,0.0055231267058905124,-0.7172699501220668,0.9467354197906109
2,Asahi,1995,-0.14740032222645053,-0.19490685524993115,1.6607187784201625,0.9993551256231871,-0.9232704152267557,-0.36075372399206257,-0.19359250061049452,2.3158160073134404,-0.08062592605906813,2.1978086918885578,-0.7135426128108479,-0.6296034930916085,2.2583470192037556,-0.0908278748694044,0.03136151659686958,0.07908455468062922,0.40951251171392644,0.040693777689592515,1.6060521746523837,-0.08413751529888495,0.8347875569494824,0.33205833929407663,1.6975191524469782,1.2558799475511542,-0.8109014410203201,-0.53903936610262
3,Asahi,1996,-1.1689135004794633,-1.1549940421980198,1.38948642433728,1.1197422878416117,-1.3108991489735349,-1.8494880329383225,-1.477761832917271,1.3410869745165275,1.2323927267396957,-0.9379117660094797,-0.9742758990428859,-0.5352124068260484,1.2339953964304438,0.9668080103735038,0.3674542070505441,-1.952744248437802,-1.806702964916067,1.4877433667257172,0.5551549508420899,0.772871195274047,-0.9157076787950307,-1.5736286118034315,2.1019354705286335,1.1146774054754165,-0.7998423382718433,-0.2477109767117904
4,Asahi,1997,0.5849493075096901,0.5492971086782199,1.6304291700766704,1.4655548087880053,-1.039115989399987,0.1871188528163942,0.4456470690900655,1.697099658456875,0.4117802325161059,-0.09824247282551792,-0.5109088584517841,-0.20477927950052183,1.7410728030401303,1.035939613099863,-0.673741851488309,-0.7369783764156329,-0.6331206836764925,0.9329831838599042,0.5723409479208148,-1.211379194755305,-0.7329669579101499,-0.9691842489907277,0.8230752239944794,3.1243108007794005,-1.23799695716992,0.5097428357043665
5,Asahi,1998,0.962959138581999,0.9092293585580494,2.3611853557782814,-0.6606819647850886,2.1862726292293915,1.8182447162251991,1.8070051051625704,2.4167653357545498,-0.9065081987879741,0.34275521830219735,-1.0919107332109088,-0.9333222834087875,2.4983558592460837,-0.6351627280898624,0.8777040811287157,-0.22642886183878055,-0.35837557796363134,2.861660130298904,-0.4449012970507004,0.1715022744049504,2.246737160346705,1.915539482008367,2.1627327750356864,1.1020914884695852,-0.6508627589366133,-0.6847035607980348
6,Asahi,1999,0.4351977994568774,0.3214485684192797,1.8596621047370414,0.2983463087496922,0.8965023916455169,0.6671447311163992,0.8114000242019463,2.07882550631223,0.9727830510498701,-0.361704007196882,-0.24456361111805303,-0.1564194466980324,2.002154073452313,0.8682074565395044,0.03567188065552344,1.5508818593698763,1.5607381072523532,0.21257247382289607,2.003849882114417,-1.8752316001859843,1.1600248254111991,1.1765208151115238,0.06110556780147393,0.9706086095994988,-0.5086668368267242,0.3058129631307858
7,Asahi,2000,0.11101046883684368,0.19453514462741123,1.8559004065743525,1.3170101592403423,0.4654359616771428,0.1515963348569968,0.5432737362638006,2.353009252934697,1.0127923337448959,1.015046923235045,0.18247647098649714,0.38081982915131174,2.307687412883994,0.9011853844136831,1.2459039761081987,0.45129750457745005,0.45636947468493755,1.3266901067877344,1.6440250590815464,-1.1201592988112696,0.4066597509156483,0.12315567232030859,1.7881618355606155,-0.15652306900190746,-0.47022182751979397,1.0632667755469427
8,Asahi,2001,0.01726182276990258,0.04774413932517046,1.9404498478944252,0.673114038037475,0.630649304195403,0.32983810578409245,0.41107983440867973,1.674602723080814,0.40176723827274263,-0.46859379425932457,1.2716755148570407,1.6464477279581131,0.9123665655946984,2.1944677657656246,-1.5832635041159602,-1.01390118317343,-0.890030133178543,1.22629443758955,0.599346853559716,0.15164554969538918,0.5488239217720757,-0.0916481999350936,2.1245481174665226,1.3987016715982217,0.6762969945158902,0.3349458020698688
9,Asahi,2002,1.9157322795609426,1.821381264278974,1.710055962771157,0.8447913644600874,-0.3678327814675223,-1.1659089511725653,-0.8459167651088751,1.7666808971174204,0.4708809733811736,-0.5559401767368246,-0.048335097408946336,0.1622164029792987,1.858433691387218,0.846057100605414,0.043354393868334846,-0.44464181194462743,-0.34718992741451865,1.884149940338759,1.0515783275220512,1.007973506941014,-0.15747660911255226,-0.30841019939770753,2.0897827573424808,1.2969748042690175,-0.5284382275881063,0.10188309055720511
