model,rmse,r2,r2-rmse
Linear Regression,16.882953877977,0.6957780862057706,-16.187175791771228
Random Forest,18.375442437423704,0.595727200690435,-17.779715236733267
L-Rgr PCA,24.650100833639332,0.35146857301901013,-24.298632260620323
L-Rgr PCA,24.650100833639332,0.35146857301901013,-24.298632260620323
RFR PCA,23.990276471140156,0.295954812470252,-23.694321658669903
XGBoost PCA,23.990276471140156,0.366472413101391,-23.623804058038765
XGBoost,23.990276471140156,0.7338697622979535,-23.256406708842203
