City,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
山武市,,,,,,,,,,,,,554.0,525.0,517.0,586.0,532.0,560.0,542.0,567.0,570.0,573.0,554.0,565.0,560.0,555.0,525.0,555.0,562.0,561.0,573.0
市原市,405.0,490.0,463.0,497.0,512.0,466.0,503.0,532.0,494.0,484.0,486.0,538.0,518.0,505.0,506.0,563.0,495.0,501.0,531.0,520.0,523.0,540.0,516.0,517.0,524.0,521.0,508.0,524.0,530.0,516.0,529.0
成田市,425.0,524.0,500.0,508.0,519.0,473.0,524.0,547.0,524.0,527.0,487.0,553.0,549.0,508.0,533.0,548.0,537.0,551.0,541.0,549.0,555.0,559.0,542.0,547.0,537.0,535.0,521.0,530.0,545.0,534.0,546.0
旭市,428.0,569.0,518.0,528.0,554.0,513.0,547.0,573.0,548.0,540.0,520.0,598.0,574.0,526.0,556.0,583.0,549.0,572.0,539.0,583.0,585.0,588.0,565.0,584.0,572.0,567.0,538.0,568.0,574.0,573.0,585.0
香取市,,,,,,,,,,,,,550.0,514.0,554.0,577.0,569.0,562.0,535.0,578.0,577.0,583.0,555.0,580.0,564.0,560.0,525.0,561.0,568.0,566.0,578.0
