"時間軸（年次）","市町村（2006年）","/面積収量収穫量","10a当たり収量【kg】"
"2006年","千葉県成田市","","508"
"2006年","千葉県旭市","","526"
"2006年","千葉県市原市","","505"
"2006年","千葉県香取市","","514"
"2006年","千葉県山武市","","525"
